Model,RMSE,MAE,R2
Random Forest,14.95697690813518,8.025152569684908,0.9710543113799925
Tuned Random Forest,15.187344556366288,8.171055901933295,0.9701558007057423
Linear Regression,19.392081965724536,11.181763737767493,0.9513430238203429
Time-Series Baseline Mean,71.33436768045043,50.001297992445494,-0.0019846073539611098
Baseline Mean,88.21023304960131,61.114137218912234,-0.006779070402199938
SARIMAX + Weather,104.01454759922318,80.52813350117623,-1.1643743126942854
